vardas pavarde  ND1 ND2 ND3 egz
vardas1 pavarde1 8 4 4 5
vardas2 pavarde2 1 4 9 5
vardas3 pavarde3 4 8 9 8
vardas4 pavarde4 8 1 2 4
vardas5 pavarde5 1 9 8 1
vardas6 pavarde6 1 2 5 4
vardas7 pavarde7 2 8 7 1
vardas8 pavarde8 2 6 2 6
vardas9 pavarde9 10 6 8 10
vardas10 pavarde10 6 1 9 2
vardas11 pavarde11 8 10 1 10
vardas12 pavarde12 5 4 1 1
vardas13 pavarde13 3 5 3 7
vardas14 pavarde14 9 4 3 9
vardas15 pavarde15 4 2 8 8
vardas16 pavarde16 7 1 8 6
vardas17 pavarde17 3 7 1 7
vardas18 pavarde18 2 3 6 7
vardas19 pavarde19 9 7 9 2
vardas20 pavarde20 1 3 1 7
vardas21 pavarde21 5 2 3 1
vardas22 pavarde22 2 3 4 10
vardas23 pavarde23 5 7 3 7
vardas24 pavarde24 9 6 3 1
vardas25 pavarde25 1 5 8 8
vardas26 pavarde26 9 5 2 6
vardas27 pavarde27 7 1 1 1
vardas28 pavarde28 7 3 3 6
vardas29 pavarde29 4 8 6 4
vardas30 pavarde30 6 2 10 6
vardas31 pavarde31 4 3 6 9
vardas32 pavarde32 8 6 3 4
vardas33 pavarde33 5 7 1 2
vardas34 pavarde34 10 3 8 5
vardas35 pavarde35 5 3 10 5
vardas36 pavarde36 3 4 6 2
vardas37 pavarde37 8 5 9 3
vardas38 pavarde38 6 4 4 4
vardas39 pavarde39 5 6 9 9
vardas40 pavarde40 8 8 4 5
vardas41 pavarde41 3 2 2 2
vardas42 pavarde42 8 10 6 9
vardas43 pavarde43 3 1 4 8
vardas44 pavarde44 8 8 2 6
vardas45 pavarde45 7 6 7 2
vardas46 pavarde46 8 8 10 8
vardas47 pavarde47 9 1 8 9
vardas48 pavarde48 10 10 6 3
vardas49 pavarde49 4 10 9 4
vardas50 pavarde50 5 6 8 9
vardas51 pavarde51 2 7 7 9
vardas52 pavarde52 4 2 1 2
vardas53 pavarde53 8 3 9 10
vardas54 pavarde54 6 3 2 10
vardas55 pavarde55 4 10 7 10
vardas56 pavarde56 7 1 7 2
vardas57 pavarde57 2 4 4 10
vardas58 pavarde58 8 7 5 6
vardas59 pavarde59 9 1 2 6
vardas60 pavarde60 8 2 7 5
vardas61 pavarde61 7 6 10 9
vardas62 pavarde62 9 6 5 6
vardas63 pavarde63 4 1 7 5
vardas64 pavarde64 2 8 9 9
vardas65 pavarde65 9 8 5 10
vardas66 pavarde66 7 9 8 1
vardas67 pavarde67 8 3 7 2
vardas68 pavarde68 6 8 3 10
vardas69 pavarde69 3 9 4 10
vardas70 pavarde70 10 6 4 10
vardas71 pavarde71 8 6 10 7
vardas72 pavarde72 3 7 10 7
vardas73 pavarde73 2 10 10 3
vardas74 pavarde74 4 5 6 6
vardas75 pavarde75 2 4 7 4
vardas76 pavarde76 1 4 5 4
vardas77 pavarde77 7 9 9 5
vardas78 pavarde78 1 7 3 9
vardas79 pavarde79 10 1 3 3
vardas80 pavarde80 4 8 6 2
vardas81 pavarde81 3 1 9 4
vardas82 pavarde82 3 9 6 10
vardas83 pavarde83 1 7 7 8
vardas84 pavarde84 8 7 2 10
vardas85 pavarde85 8 5 2 4
vardas86 pavarde86 2 2 8 2
vardas87 pavarde87 4 4 1 8
